,Draft_Yr,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG_Perc,3P_Perc,FT_Perc,MP,PTS_per_G,TRB_per_G,AST_per_G,WS_per_G,WS_per_48,BPM,VORP
0,2016,1,PHI,Ben Simmons,Louisiana State University,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2016,2,LAL,Brandon Ingram,Duke University,1,79,2279,740,316,166,0.402,0.294,0.621,2279,9.4,4.0,2.1,-0.3,-0.006999999999999999,-3.8,-1.1
2,2016,3,BOS,Jaylen Brown,University of California,1,78,1341,515,220,64,0.45399999999999996,0.341,0.685,1341,6.6,2.8,0.8,1.5,0.053,-4.0,-0.7
3,2016,4,PHO,Dragan Bender,,1,43,574,146,103,23,0.354,0.27699999999999997,0.364,574,3.4,2.4,0.5,-0.3,-0.028999999999999998,-4.3,-0.3
4,2016,5,MIN,Kris Dunn,Providence College,1,78,1333,293,166,188,0.377,0.28800000000000003,0.61,1333,3.8,2.1,2.4,0.1,0.004,-2.2,-0.1
5,2016,6,NOP,Buddy Hield,University of Oklahoma,1,82,1888,866,269,121,0.426,0.391,0.8420000000000001,1888,10.6,3.3,1.5,1.3,0.032,-2.7,-0.4
6,2016,7,DEN,Jamal Murray,University of Kentucky,1,82,1764,811,214,170,0.40399999999999997,0.33399999999999996,0.883,1764,9.9,2.6,2.1,1.3,0.037000000000000005,-2.6,-0.3
7,2016,8,SAC,Marquese Chriss,University of Washington,1,82,1743,753,348,60,0.449,0.321,0.624,1743,9.2,4.2,0.7,1.8,0.05,-1.6,0.2
8,2016,9,TOR,Jakob Poeltl,University of Utah,1,54,626,165,165,12,0.583,0.0,0.544,626,3.1,3.1,0.2,1.6,0.125,-0.7,0.2
9,2016,10,MIL,Thon Maker,,1,57,562,226,114,23,0.45899999999999996,0.37799999999999995,0.653,562,4.0,2.0,0.4,1.3,0.113,-1.5,0.1
10,2016,11,ORL,Domantas Sabonis,Gonzaga University,1,81,1632,479,288,82,0.39899999999999997,0.321,0.657,1632,5.9,3.6,1.0,0.8,0.022000000000000002,-4.8,-1.2
11,2016,12,UTA,Taurean Prince,Baylor University,1,59,981,335,157,55,0.4,0.324,0.787,981,5.7,2.7,0.9,1.1,0.054000000000000006,-2.3,-0.1
12,2016,13,PHO,Georgios Papagiannis,,1,22,355,124,86,20,0.5489999999999999,0.0,0.857,355,5.6,3.9,0.9,0.4,0.057,-2.7,-0.1
13,2016,14,CHI,Denzel Valentine,Michigan State University,1,57,976,291,151,63,0.354,0.35100000000000003,0.778,976,5.1,2.6,1.1,0.6,0.031,-2.7,-0.2
14,2016,15,DEN,Juan Hernangomez,,1,62,842,305,187,29,0.451,0.40700000000000003,0.75,842,4.9,3.0,0.5,1.8,0.10400000000000001,-1.3,0.1
15,2016,16,BOS,Guerschon Yabusele,,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2016,17,MEM,Wade Baldwin,Vanderbilt University,1,33,405,106,46,61,0.313,0.136,0.838,405,3.2,1.4,1.8,-0.3,-0.040999999999999995,-5.7,-0.4
17,2016,18,DET,Henry Ellenson,Marquette University,1,19,146,60,41,7,0.359,0.28600000000000003,0.5,146,3.2,2.2,0.4,-0.2,-0.071,-8.2,-0.2
18,2016,19,DEN,Malik Beasley,Florida State University,1,22,165,83,17,11,0.452,0.321,0.8,165,3.8,0.8,0.5,0.2,0.057,-3.9,-0.1
19,2016,20,IND,Caris LeVert,University of Michigan,1,57,1237,468,188,110,0.45,0.321,0.72,1237,8.2,3.3,1.9,1.8,0.07,-1.1,0.3
20,2016,21,ATL,DeAndre Bembry,Saint Joseph's University,1,38,371,101,59,28,0.48,0.055999999999999994,0.375,371,2.7,1.6,0.7,0.3,0.038,-4.3,-0.2
21,2016,22,CHO,Malachi Richardson,Syracuse University,1,22,198,79,23,11,0.41200000000000003,0.28600000000000003,0.789,198,3.6,1.0,0.5,0.1,0.027999999999999997,-5.5,-0.2
22,2016,23,BOS,Ante Zizic,,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2016,24,PHI,Timothe Luwawu,,1,69,1190,445,149,75,0.402,0.311,0.8540000000000001,1190,6.4,2.2,1.1,0.8,0.034,-4.0,-0.6
24,2016,25,LAC,Brice Johnson,University of North Carolina,1,3,9,4,3,1,0.28600000000000003,0.0,0.0,9,1.3,1.0,0.3,0.0,-0.165,1.3,0.0
25,2016,26,PHI,Furkan Korkmaz,,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2016,27,TOR,Pascal Siakam,New Mexico State University,1,55,859,229,185,17,0.502,0.14300000000000002,0.688,859,4.2,3.4,0.3,1.6,0.08900000000000001,-1.1,0.2
27,2016,28,PHO,Skal Labissiere,University of Kentucky,1,33,612,289,162,27,0.537,0.375,0.703,612,8.8,4.9,0.8,1.3,0.099,-2.6,-0.1
28,2016,29,SAS,Dejounte Murray,University of Washington,1,38,322,130,42,48,0.431,0.391,0.7,322,3.4,1.1,1.3,0.0,0.004,-4.8,-0.2
29,2016,30,GSW,Damian Jones,Vanderbilt University,1,10,85,19,23,0,0.5,0.0,0.3,85,1.9,2.3,0.0,0.0,0.018000000000000002,-9.6,-0.2
32,2016,31,BOS,Deyonta Davis,Michigan State University,1,36,238,58,60,2,0.511,0.0,0.556,238,1.6,1.7,0.1,0.5,0.09699999999999999,-3.7,-0.1
33,2016,32,LAL,Ivica Zubac,,1,38,609,284,159,30,0.529,0.0,0.653,609,7.5,4.2,0.8,1.1,0.086,-2.5,-0.1
34,2016,33,LAC,Cheick Diallo,University of Kansas,1,17,199,87,73,4,0.474,0.0,0.7140000000000001,199,5.1,4.3,0.2,0.5,0.111,-5.6,-0.2
35,2016,34,PHO,Tyler Ulis,University of Kentucky,1,61,1123,444,95,226,0.42100000000000004,0.266,0.775,1123,7.3,1.6,3.7,0.7,0.028999999999999998,-4.0,-0.6
36,2016,35,BOS,Rade Zagorac,,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2016,36,MIL,Malcolm Brogdon,University of Virginia,1,75,1982,767,213,317,0.457,0.40399999999999997,0.865,1982,10.2,2.8,4.2,4.1,0.1,-0.5,0.8
38,2016,37,HOU,Chinanu Onuaku,University of Louisville,1,5,52,14,10,3,0.7140000000000001,0.0,1.0,52,2.8,2.0,0.6,0.1,0.12300000000000001,-0.6,0.0
39,2016,38,MIL,Patrick McCaw,"University of Nevada, Las Vegas",1,71,1074,282,100,77,0.433,0.33299999999999996,0.784,1074,4.0,1.4,1.1,1.7,0.077,-1.8,0.1
40,2016,39,NOP,David Michineau,,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,2016,40,NOP,Diamond Stone,University of Maryland,1,7,24,10,6,0,0.231,0.0,1.0,24,1.4,0.9,0.0,-0.1,-0.21100000000000002,-24.1,-0.1
42,2016,41,ORL,Stephen Zimmerman,"University of Nevada, Las Vegas",1,19,108,23,35,4,0.32299999999999995,0.0,0.6,108,1.2,1.8,0.2,0.0,-0.005,-7.3,-0.1
43,2016,42,UTA,Isaiah Whitehead,Seton Hall University,1,73,1643,543,184,192,0.402,0.295,0.805,1643,7.4,2.5,2.6,-0.8,-0.023,-4.9,-1.2
44,2016,43,HOU,Zhou Qi,,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,2016,44,ATL,Isaia Cordinier,,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,2016,45,BOS,Demetrius Jackson,University of Notre Dame,1,5,17,10,4,3,0.75,1.0,0.5,17,2.0,0.8,0.6,0.1,0.386,6.3,0.0
47,2016,46,DAL,A.J. Hammons,Purdue University,1,22,163,48,36,4,0.405,0.5,0.45,163,2.2,1.6,0.2,0.0,-0.001,-5.6,-0.1
48,2016,47,ORL,Jake Layman,University of Maryland,1,35,249,78,24,11,0.292,0.255,0.765,249,2.2,0.7,0.3,-0.3,-0.054000000000000006,-7.4,-0.3
49,2016,48,CHI,Paul Zipser,,1,44,843,240,125,36,0.39799999999999996,0.33299999999999996,0.775,843,5.5,2.8,0.8,0.5,0.03,-3.7,-0.4
50,2016,49,DET,Michael Gbinije,Syracuse University,1,9,32,4,3,2,0.1,0.0,1.0,32,0.4,0.3,0.2,-0.1,-0.136,-10.5,-0.1
51,2016,50,IND,Georges Niang,Iowa State University,1,23,93,21,17,5,0.25,0.083,1.0,93,0.9,0.7,0.2,-0.3,-0.168,-12.0,-0.2
52,2016,51,BOS,Ben Bentil,Providence College,1,3,10,0,2,0,0.0,0.0,0.0,10,0.0,0.7,0.0,-0.1,-0.473,-26.9,-0.1
53,2016,52,UTA,Joel Bolomboy,Weber State University,1,12,53,22,17,2,0.563,0.25,0.5,53,1.8,1.4,0.2,0.2,0.171,-0.8,0.0
54,2016,53,DEN,Petr Cornelie,,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,2016,54,ATL,Kay Felder,Oakland University,1,42,386,166,41,58,0.392,0.318,0.7140000000000001,386,4.0,1.0,1.4,0.1,0.008,-6.0,-0.4
56,2016,55,BRK,Marcus Paige,University of North Carolina,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,2016,56,DEN,Daniel Hamilton,University of Connecticut,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,2016,57,MEM,Wang Zhelin,,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,2016,58,BOS,Abdel Nader,Iowa State University,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,2016,59,SAC,Isaiah Cousins,University of Oklahoma,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,2016,60,UTA,Tyrone Wallace,University of California,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
